Region,Season,Distance,Pos,S,SW,W,NW,N,NE,E,SE
6,Heating,3,3to3,0.710252196,0.672170722,0.666631723,0.695362907,0.72626935,0.697247128,0.663858248,0.651707509
6,Heating,2,3to3,0.52701775,0.529076945,0.529579125,0.582167952,0.597740396,0.577119131,0.522328371,0.510406865
6,Heating,1,3to3,0.331785703,0.309017132,0.32401004,0.366886807,0.404554219,0.372872024,0.315040009,0.287593661
6,Heating,40,1to2,0.979160622,0.968710354,0.946630732,0.906740642,0.884036876,0.914098903,0.952565425,0.973010922
6,Heating,25,1to2,0.964889846,0.93434945,0.918887602,0.883171868,0.862341245,0.884733806,0.924528445,0.937738313
6,Heating,19,1to2,0.946985581,0.902694417,0.886752785,0.86042685,0.841990111,0.858910622,0.89109835,0.906455278
6,Heating,13,1to2,0.905344432,0.824886787,0.811087251,0.810616373,0.801284253,0.806803661,0.814604162,0.821576986
6,Heating,9,1to2,0.817588367,0.705340407,0.698916557,0.727278747,0.738185315,0.732155014,0.700637369,0.684619139
6,Heating,7,1to2,0.64951564,0.603648312,0.603277024,0.650295394,0.669753757,0.657385241,0.603119292,0.575328151
6,Heating,6,1to2,0.554769334,0.533941624,0.543094898,0.603481689,0.62262232,0.605614521,0.53877249,0.504113492
6,Heating,5,1to2,0.426572938,0.456535802,0.467448494,0.541371927,0.555532721,0.536072111,0.459514369,0.424054068
6,Heating,4,1to2,0.311959937,0.367854107,0.379727011,0.455304793,0.467356624,0.449914787,0.367110044,0.332473272
6,Heating,3,1to2,0.206070995,0.250276934,0.265763007,0.334844179,0.347291608,0.341074186,0.255178899,0.224224941
6,Heating,2,1to2,0.094868882,0.114017165,0.138915612,0.187464223,0.189628305,0.190572077,0.135420261,0.107647901
6,Heating,1,1to2,0.019973046,0.030030184,0.041012549,0.06350623,0.06125547,0.063944222,0.03629802,0.026388057
6,Heating,40,2to2,0.984468529,0.980028967,0.970018845,0.947159528,0.93314643,0.950544423,0.973644158,0.982120107
6,Heating,25,2to2,0.97778573,0.971657184,0.961191808,0.944474598,0.934577072,0.946181453,0.964107024,0.974156014
6,Heating,19,2to2,0.970789371,0.963526994,0.951896397,0.940504668,0.934735334,0.939958855,0.954647667,0.966348316
6,Heating,13,2to2,0.957603893,0.940555281,0.932009262,0.927632092,0.931462838,0.924701652,0.933274107,0.943201434
6,Heating,9,2to2,0.940418934,0.910619717,0.897708583,0.901855381,0.915957412,0.897342549,0.898828198,0.91159453
6,Heating,7,2to2,0.923189978,0.871988418,0.857132886,0.873694427,0.890684757,0.868338505,0.859612007,0.871847912
6,Heating,6,2to2,0.911122588,0.847634969,0.835415475,0.852544253,0.871305919,0.846360299,0.837289242,0.848478812
6,Heating,5,2to2,0.885520616,0.817443073,0.794775681,0.816867824,0.84037776,0.815392479,0.795435712,0.811151821
6,Heating,4,2to2,0.820567118,0.758043572,0.735879165,0.774164491,0.796554981,0.773122462,0.741005117,0.750293685
6,Heating,3,2to2,0.710519804,0.672821749,0.667664158,0.697158863,0.727636841,0.69907823,0.664798632,0.65224821
6,Heating,2,2to2,0.527163769,0.529415861,0.530070071,0.583036654,0.59843876,0.578032091,0.522738311,0.51067458
6,Heating,1,2to2,0.331758942,0.308997954,0.323998577,0.366825385,0.404418784,0.372822084,0.315032956,0.287569657
6,Heating,40,1to1,0.985264308,0.980070392,0.965534309,0.933125697,0.911223846,0.938003118,0.970772246,0.982393607
6,Heating,25,1to1,0.980274199,0.97333778,0.957440726,0.92859109,0.908937669,0.932453366,0.961917599,0.976131657
6,Heating,19,1to1,0.975240072,0.966739866,0.948587224,0.923057889,0.905447593,0.925046926,0.953182845,0.969917558
6,Heating,13,1to1,0.965418854,0.945987828,0.930220873,0.910454259,0.898134237,0.910435863,0.933502825,0.948762853
6,Heating,9,1to1,0.948156021,0.917162967,0.898584353,0.889530213,0.886476169,0.887682864,0.901421076,0.917645784
6,Heating,7,1to1,0.929225962,0.878781623,0.860681848,0.867447383,0.872550229,0.864312697,0.864277503,0.877708516
6,Heating,6,1to1,0.916166779,0.854311864,0.84049799,0.850901246,0.860652613,0.84638959,0.842905339,0.854083319
6,Heating,5,1to1,0.889853998,0.823898474,0.801211069,0.819722141,0.836591288,0.819533291,0.801849654,0.816495496
6,Heating,4,1to1,0.824123441,0.763778241,0.7429212,0.780249322,0.79868662,0.780008231,0.747821549,0.7550352
6,Heating,3,1to1,0.712915024,0.677090526,0.673998348,0.704472821,0.732679446,0.707039706,0.670654975,0.655810362
6,Heating,2,1to1,0.687991728,0.608213826,0.541114699,0.558229877,0.5551866,0.558613762,0.535900489,0.60918255
6,Heating,1,1to1,0.48381896,0.385247425,0.329448528,0.355390899,0.366397091,0.350638139,0.321860365,0.377369853
7,Cooling,40,1to3,0.933905419,0.936685452,0.926766291,0.914211646,0.897315036,0.921248879,0.925926735,0.937249876
7,Cooling,25,1to3,0.891087262,0.897376924,0.860443422,0.860873136,0.840130555,0.868301263,0.863384822,0.898433743
7,Cooling,19,1to3,0.852599357,0.858538685,0.810121,0.807140892,0.787713073,0.816864521,0.80161993,0.856644452
7,Cooling,13,1to3,0.781857761,0.770649745,0.686648414,0.714037384,0.689656802,0.714177615,0.683930095,0.770435382
7,Cooling,9,1to3,0.695689557,0.651557312,0.544325517,0.587912799,0.576659326,0.588242297,0.538916713,0.647559807
7,Cooling,7,1to3,0.622672168,0.543878739,0.439633133,0.486060686,0.485401416,0.473479965,0.427705784,0.535780221
7,Cooling,6,1to3,0.566289167,0.473812937,0.379674613,0.416634534,0.435739981,0.419811153,0.372489716,0.464290106
7,Cooling,5,1to3,0.486742442,0.386762935,0.308412798,0.344019077,0.372892552,0.343440509,0.307980953,0.38286484
7,Cooling,4,1to3,0.393940047,0.293827418,0.244902147,0.269428485,0.301722176,0.259771077,0.234339946,0.28583481
7,Cooling,3,1to3,0.28137007,0.188977633,0.157115544,0.173444687,0.215880745,0.175892874,0.163607041,0.185909466
7,Cooling,2,1to3,0.167870826,0.087586779,0.078422832,0.081023464,0.117010053,0.077926696,0.067917912,0.082684114
7,Cooling,1,1to3,0.053931582,0.029289564,0.021532177,0.027172308,0.051170958,0.032397774,0.027657611,0.024372358
7,Cooling,40,2to3,0.949189077,0.954007279,0.950354119,0.939517368,0.929740637,0.945739601,0.950488481,0.953234354
